2024-10-12 11:26:40,801 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-10-12 11:26:40,900 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-10-12 11:27:12,566 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-10-12 11:27:12,665 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-10-12 11:28:00,737 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:01,165 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:01,299 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:01,509 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:01,984 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:02,223 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:02,444 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:02,686 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:03,041 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:03,300 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:03,411 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:03,907 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:04,124 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:04,242 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:04,366 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:04,479 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:04,589 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:04,808 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:05,270 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:05,535 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:06,106 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:06,352 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:06,480 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:06,705 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:06,925 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:07,037 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:07,287 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:07,405 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:08,771 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:09,262 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:09,699 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:09,943 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:10,089 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:10,406 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:10,623 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:10,760 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:11,384 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:11,832 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:11,959 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:12,084 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:12,634 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:13,104 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:13,708 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:14,281 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
